"Animat","Lifespan","Teacher","Reached end"
"0","0","true","false"
"1","0","true","false"
"2","0","true","false"
"3","0","true","false"
"4","0","true","false"
"5","0","true","false"
"6","0","true","false"
"7","0","true","false"
"8","0","true","false"
"9","0","true","false"
"10","0","true","false"
"11","0","true","false"
"12","0","true","false"
"13","0","true","false"
"14","0","true","false"
"15","0","true","false"
"16","0","true","false"
"17","0","true","false"
"18","0","true","false"
"19","0","true","false"
"20","0","true","false"
"21","0","true","false"
"22","0","true","false"
"23","0","true","false"
"24","0","true","false"
"25","0","true","false"
"26","0","true","false"
"27","0","true","false"
"28","0","true","false"
"29","0","true","false"
"30","0","true","false"
"31","0","true","false"
"32","0","true","false"
"33","0","true","false"
"34","0","true","false"
"35","0","true","false"
"36","0","true","false"
"37","0","true","false"
"38","0","true","false"
"39","0","true","false"
"40","0","true","false"
"41","0","true","false"
"42","0","true","false"
"43","0","true","false"
"44","0","true","false"
"45","0","true","false"
"46","0","true","false"
"47","0","true","false"
"48","0","true","false"
"49","0","true","false"
"50","0","true","false"
"51","0","true","false"
"52","0","true","false"
"53","0","true","false"
"54","0","true","false"
"55","0","true","false"
"56","0","true","false"
"57","0","true","false"
"58","0","true","false"
"59","0","true","false"
"60","0","true","false"
"61","0","true","false"
"62","0","true","false"
"63","0","true","false"
"64","0","true","false"
"65","0","true","false"
"66","0","true","false"
"67","0","true","false"
"68","0","true","false"
"69","0","true","false"
"70","0","true","false"
"71","0","true","false"
"72","0","true","false"
"73","0","true","false"
"74","0","true","false"
"75","0","true","false"
"76","0","true","false"
"77","0","true","false"
"78","0","true","false"
"79","0","true","false"
"80","0","true","false"
"81","0","true","false"
"82","0","true","false"
"83","0","true","false"
"84","0","true","false"
"85","0","true","false"
"86","0","true","false"
"87","0","true","false"
"88","0","true","false"
"89","0","true","false"
"90","0","true","false"
"91","0","true","false"
"92","0","true","false"
"93","0","true","false"
"94","0","true","false"
"95","0","true","false"
"96","0","true","false"
"97","0","true","false"
"98","0","true","false"
"99","0","true","false"
"100","0","false","false"
"101","0","false","false"
"102","0","false","false"
"103","0","false","false"
"104","0","false","false"
"105","0","false","false"
"106","0","false","false"
"107","0","false","false"
"108","0","false","false"
"109","0","false","false"
"110","0","false","false"
"111","0","false","false"
"112","0","false","false"
"113","0","false","false"
"114","0","false","false"
"115","0","false","false"
"116","0","false","false"
"117","0","false","false"
"118","0","false","false"
"119","0","false","false"
"120","0","false","false"
"121","0","false","false"
"122","0","false","false"
"123","0","false","false"
"124","0","false","false"
"125","0","false","false"
"126","0","false","false"
"127","0","false","false"
"128","0","false","false"
"129","0","false","false"
"130","0","false","false"
"131","0","false","false"
"132","0","false","false"
"133","0","false","false"
"134","0","false","false"
"135","0","false","false"
"136","0","false","false"
"137","0","false","false"
"138","0","false","false"
"139","0","false","false"
"140","0","false","false"
"141","0","false","false"
"142","0","false","false"
"143","0","false","false"
"144","0","false","false"
"145","0","false","false"
"146","0","false","false"
"147","0","false","false"
"148","0","false","false"
"149","0","false","false"
"150","0","false","false"
"151","0","false","false"
"152","0","false","false"
"153","0","false","false"
"154","0","false","false"
"155","0","false","false"
"156","0","false","false"
"157","0","false","false"
"158","0","false","false"
"159","0","false","false"
"160","0","false","false"
"161","0","false","false"
"162","0","false","false"
"163","0","false","false"
"164","0","false","false"
"165","0","false","false"
"166","0","false","false"
"167","0","false","false"
"168","0","false","false"
"169","0","false","false"
"170","0","false","false"
"171","0","false","false"
"172","0","false","false"
"173","0","false","false"
"174","0","false","false"
"175","0","false","false"
"176","0","false","false"
"177","0","false","false"
"178","0","false","false"
"179","0","false","false"
"180","0","false","false"
"181","0","false","false"
"182","0","false","false"
"183","0","false","false"
"184","0","false","false"
"185","0","false","false"
"186","0","false","false"
"187","0","false","false"
"188","0","false","false"
"189","0","false","false"
"190","0","false","false"
"191","0","false","false"
"192","0","false","false"
"193","0","false","false"
"194","0","false","false"
"195","0","false","false"
"196","0","false","false"
"197","0","false","false"
"198","0","false","false"
"199","0","false","false"
"200","0","false","false"
"201","0","false","false"
"202","0","false","false"
"203","0","false","false"
"204","0","false","false"
"205","0","false","false"
"206","0","false","false"
"207","0","false","false"
"208","0","false","false"
"209","0","false","false"
"210","0","false","false"
"211","0","false","false"
"212","0","false","false"
"213","0","false","false"
"214","0","false","false"
"215","0","false","false"
"216","0","false","false"
"217","0","false","false"
"218","0","false","false"
"219","0","false","false"
"220","0","false","false"
"221","0","false","false"
"222","0","false","false"
"223","0","false","false"
"224","0","false","false"
"225","0","false","false"
"226","0","false","false"
"227","0","false","false"
"228","0","false","false"
"229","0","false","false"
"230","0","false","false"
"231","0","false","false"
"232","0","false","false"
"233","0","false","false"
"234","0","false","false"
"235","0","false","false"
"236","0","false","false"
"237","0","false","false"
"238","0","false","false"
"239","0","false","false"
"240","0","false","false"
"241","0","false","false"
"242","0","false","false"
"243","0","false","false"
"244","0","false","false"
"245","0","false","false"
"246","0","false","false"
"247","0","false","false"
"248","0","false","false"
"249","0","false","false"
"250","0","false","false"
"251","0","false","false"
"252","0","false","false"
"253","0","false","false"
"254","0","false","false"
"255","0","false","false"
"256","0","false","false"
"257","0","false","false"
"258","0","false","false"
"259","0","false","false"
"260","0","false","false"
"261","0","false","false"
"262","0","false","false"
"263","0","false","false"
"264","0","false","false"
"265","0","false","false"
"266","0","false","false"
"267","0","false","false"
"268","0","false","false"
"269","0","false","false"
"270","0","false","false"
"271","0","false","false"
"272","0","false","false"
"273","0","false","false"
"274","0","false","false"
"275","0","false","false"
"276","0","false","false"
"277","0","false","false"
"278","0","false","false"
"279","0","false","false"
"280","0","false","false"
"281","0","false","false"
"282","0","false","false"
"283","0","false","false"
"284","0","false","false"
"285","0","false","false"
"286","0","false","false"
"287","0","false","false"
"288","0","false","false"
"289","0","false","false"
"290","0","false","false"
"291","0","false","false"
"292","0","false","false"
"293","0","false","false"
"294","0","false","false"
"295","0","false","false"
"296","0","false","false"
"297","0","false","false"
"298","0","false","false"
"299","0","false","false"
"300","0","false","false"
"301","0","false","false"
"302","0","false","false"
"303","0","false","false"
"304","0","false","false"
"305","0","false","false"
"306","0","false","false"
"307","0","false","false"
"308","0","false","false"
"309","0","false","false"
"310","0","false","false"
"311","0","false","false"
"312","0","false","false"
"313","0","false","false"
"314","0","false","false"
"315","0","false","false"
"316","0","false","false"
"317","0","false","false"
"318","0","false","false"
"319","0","false","false"
"320","0","false","false"
"321","0","false","false"
"322","0","false","false"
"323","0","false","false"
"324","0","false","false"
"325","0","false","false"
"326","0","false","false"
"327","0","false","false"
"328","0","false","false"
"329","0","false","false"
"330","0","false","false"
"331","0","false","false"
"332","0","false","false"
"333","0","false","false"
"334","0","false","false"
"335","0","false","false"
"336","0","false","false"
"337","0","false","false"
"338","0","false","false"
"339","0","false","false"
"340","0","false","false"
"341","0","false","false"
"342","0","false","false"
"343","0","false","false"
"344","0","false","false"
"345","0","false","false"
"346","0","false","false"
"347","0","false","false"
"348","0","false","false"
"349","0","false","false"
"350","0","false","false"
"351","0","false","false"
"352","0","false","false"
"353","0","false","false"
"354","0","false","false"
"355","0","false","false"
"356","0","false","false"
"357","0","false","false"
"358","0","false","false"
"359","0","false","false"
"360","0","false","false"
"361","0","false","false"
"362","0","false","false"
"363","0","false","false"
"364","0","false","false"
"365","0","false","false"
"366","0","false","false"
"367","0","false","false"
"368","0","false","false"
"369","0","false","false"
"370","0","false","false"
"371","0","false","false"
"372","0","false","false"
"373","0","false","false"
"374","0","false","false"
"375","0","false","false"
"376","0","false","false"
"377","0","false","false"
"378","0","false","false"
"379","0","false","false"
"380","0","false","false"
"381","0","false","false"
"382","0","false","false"
"383","0","false","false"
"384","0","false","false"
"385","0","false","false"
"386","0","false","false"
"387","0","false","false"
"388","0","false","false"
"389","0","false","false"
"390","0","false","false"
"391","0","false","false"
"392","0","false","false"
"393","0","false","false"
"394","0","false","false"
"395","0","false","false"
"396","0","false","false"
"397","0","false","false"
"398","0","false","false"
"399","0","false","false"
"400","0","false","false"
"401","0","false","false"
"402","0","false","false"
"403","0","false","false"
"404","0","false","false"
"405","0","false","false"
"406","0","false","false"
"407","0","false","false"
"408","0","false","false"
"409","0","false","false"
"410","0","false","false"
"411","0","false","false"
"412","0","false","false"
"413","0","false","false"
"414","0","false","false"
"415","0","false","false"
"416","0","false","false"
"417","0","false","false"
"418","0","false","false"
"419","0","false","false"
"420","0","false","false"
"421","0","false","false"
"422","0","false","false"
"423","0","false","false"
"424","0","false","false"
"425","0","false","false"
"426","0","false","false"
"427","0","false","false"
"428","0","false","false"
"429","0","false","false"
"430","0","false","false"
"431","0","false","false"
"432","0","false","false"
"433","0","false","false"
"434","0","false","false"
"435","0","false","false"
"436","0","false","false"
"437","0","false","false"
"438","0","false","false"
"439","0","false","false"
"440","0","false","false"
"441","0","false","false"
"442","0","false","false"
"443","0","false","false"
"444","0","false","false"
"445","0","false","false"
"446","0","false","false"
"447","0","false","false"
"448","0","false","false"
"449","0","false","false"
"450","0","false","false"
"451","0","false","false"
"452","0","false","false"
"453","0","false","false"
"454","0","false","false"
"455","0","false","false"
"456","0","false","false"
