,figure 1 ,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,figure 2 ,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
table 1,,,Mean Fitness,Standard Deviation,Mean Lifespan,Standard Deviation Lifespan,Died,Reached end
,,Map 3,0.232,0.420,214.534,199.864,76%,23%
,,Map 2,0.292,0.429,453.288,293.770,57%,29%
,,Map 1,0.316,0.463,488.288,317.314,53%,32%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Best Fitness,Worst Fitness,,,Best Lifespan,Worst Lifespan
,,,1.000,0.001,,,5.916,990.474
,,,0.925,0.000,,,24.418,925.982
,,,1.000,0.001,,,24.999,998.961
