"Animat","Day","Location x:","Location y:","Teacher"
"Day: 0"
"0","1","11","20","true"
"1","1","10","19","true"
"2","1","11","20","true"
"3","1","9","20","true"
"4","1","9","20","true"
"5","1","11","20","true"
"6","1","10","19","true"
"7","1","11","20","true"
"8","1","10","19","true"
"9","1","10","19","true"
"10","1","11","20","true"
"11","1","9","20","true"
"12","1","10","19","true"
"13","1","9","20","true"
"14","1","11","20","true"
"15","1","11","20","true"
"16","1","9","20","true"
"17","1","9","20","true"
"18","1","9","20","true"
"19","1","10","19","true"
"20","1","11","20","false"
"21","1","10","19","false"
"22","1","9","20","false"
"23","1","10","19","false"
"24","1","10","19","false"
"25","1","11","20","false"
"26","1","9","20","false"
"27","1","10","19","false"
"28","1","10","19","false"
"29","1","10","19","false"
"30","1","9","20","false"
"31","1","9","20","false"
"32","1","9","20","false"
"33","1","10","19","false"
"34","1","10","19","false"
"35","1","9","20","false"
"36","1","11","20","false"
"37","1","10","19","false"
"38","1","10","19","false"
"39","1","9","20","false"
"40","1","11","20","false"
"41","1","11","20","false"
"42","1","9","20","false"
"43","1","10","19","false"
"44","1","9","20","false"
"45","1","10","19","false"
"46","1","10","19","false"
"47","1","10","19","false"
"48","1","11","20","false"
"49","1","10","19","false"
"50","1","10","19","false"
"51","1","11","20","false"
"52","1","10","19","false"
"53","1","11","20","false"
"54","1","10","19","false"
"55","1","10","19","false"
"56","1","11","20","false"
"57","1","10","19","false"
"58","1","10","19","false"
"59","1","9","20","false"
"60","1","9","20","false"
"61","1","10","19","false"
"62","1","9","20","false"
"63","1","10","19","false"
"64","1","9","20","false"
"65","1","11","20","false"
"66","1","10","19","false"
"67","1","11","20","false"
"68","1","9","20","false"
"69","1","11","20","false"
"70","1","11","20","false"
"71","1","11","20","false"
"72","1","9","20","false"
"73","1","10","19","false"
"74","1","11","20","false"
"75","1","11","20","false"
"76","1","9","20","false"
"77","1","10","19","false"
"78","1","10","19","false"
"79","1","10","19","false"
"80","1","10","19","false"
"81","1","10","19","false"
"82","1","9","20","false"
"83","1","11","20","false"
"84","1","10","19","false"
"85","1","9","20","false"
"86","1","9","20","false"
"87","1","10","19","false"
"88","1","11","20","false"
"89","1","10","19","false"
"90","1","10","19","false"
"91","1","9","20","false"
"92","1","11","20","false"
"93","1","9","20","false"
"94","1","10","19","false"
"95","1","9","20","false"
"96","1","11","20","false"
"97","1","9","20","false"
"98","1","10","19","false"
"99","1","10","19","false"
"100","1","10","19","false"
"Day: 1"
"0","2","12","20","true"
"1","2","11","19","true"
"2","2","10","20","true"
"3","2","8","20","true"
"4","2","10","20","true"
"5","2","10","20","true"
"6","2","9","19","true"
"7","2","12","20","true"
"8","2","10","18","true"
"9","2","9","19","true"
"10","2","10","20","true"
"11","2","10","20","true"
"12","2","9","19","true"
"13","2","8","20","true"
"14","2","12","20","true"
"15","2","12","20","true"
"16","2","8","20","true"
"17","2","8","20","true"
"18","2","8","20","true"
"19","2","9","19","true"
"20","2","12","20","false"
"21","2","11","19","false"
"22","2","10","20","false"
"23","2","11","19","false"
"24","2","11","19","false"
"25","2","11","19","false"
"26","2","10","20","false"
"27","2","11","19","false"
"28","2","11","19","false"
"29","2","9","19","false"
"30","2","10","20","false"
"31","2","9","19","false"
"32","2","8","20","false"
"33","2","9","19","false"
"34","2","11","19","false"
"35","2","10","20","false"
"36","2","10","20","false"
"37","2","10","18","false"
"38","2","9","19","false"
"39","2","8","20","false"
"40","2","10","20","false"
"41","2","12","20","false"
"42","2","9","19","false"
"43","2","10","18","false"
"44","2","8","20","false"
"45","2","10","18","false"
"46","2","11","19","false"
"47","2","9","19","false"
"48","2","10","20","false"
"49","2","11","19","false"
"50","2","10","18","false"
"51","2","11","19","false"
"52","2","9","19","false"
"53","2","12","20","false"
"54","2","10","18","false"
"55","2","9","19","false"
"56","2","10","20","false"
"57","2","11","19","false"
"58","2","10","18","false"
"59","2","8","20","false"
"60","2","8","20","false"
"61","2","9","19","false"
"62","2","9","19","false"
"63","2","9","19","false"
"64","2","9","19","false"
"65","2","12","20","false"
"66","2","10","18","false"
"67","2","10","20","false"
"68","2","9","19","false"
"69","2","12","20","false"
"70","2","12","20","false"
"71","2","12","20","false"
"72","2","9","19","false"
"73","2","11","19","false"
"74","2","11","19","false"
"75","2","11","19","false"
"76","2","9","19","false"
"77","2","10","18","false"
"78","2","11","19","false"
"79","2","10","18","false"
"80","2","10","18","false"
"81","2","10","18","false"
"82","2","10","20","false"
"83","2","11","19","false"
"84","2","10","18","false"
"85","2","9","19","false"
"86","2","10","20","false"
"87","2","11","19","false"
"88","2","10","20","false"
"89","2","9","19","false"
